optionID,optionDescription,price,quantity,extendedPrice
ZGBL87090,Upgrade Gourmet Dishwasher to Have Hidden Controls,100,1,100
ZGBL87100,Upgrade Single Wall Oven to Slate,87.5,2,175
ZGBL87105,"Upgrade 30"" Trim Kit to Slate",30,2,60
G10060100,Level 1 - Base cabinet to counter with Laundry sink and Delta 2131 Fau,1020,1,1020
G10060125,Level 3 - Standard Kitchen layout - electric free standing range with,3240,1,3240
G10060130,Level 1 - Standard Kitchen layout - gas range with microwave above (JG,502.5,4,2010
G10060135,Level 2 - Standard Kitchen layout - gas range with microwave above (JG,1977.5,4,7910
G10060140,Level 3 - Standard Kitchen layout - gas range with microwave above (JG,2810,1,2810
G10060145,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, elec",3600,1,3600
G10060150,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, gas",2960,1,2960
G10060150,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, gas cooktop",2226,5,11130
G10060170,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, gas cooktop",3470,3,10410
G10062025,"Kitchen - 4 1/4"" Base Moulding for Sides & Back of Island",490,1,490
G10062040,"kitchen - 24"" deep refrigerator cabinet",283.1578947,19,5380
G10062050,Kitchen - Mullion/ glass doors (each),160,4,640
G10062070,Kitchen - Full extension soft close doors and drawers,921,10,9210
G10062080,Kitchen - Base cabinet double roll out shelf,176.3636364,11,1940
G10062090,Kitchen - Three drawer pots and pans cabinet,222,20,4440
G10062100,"Kitchen - 18"" double wastebasket pull-out",151.875,16,2430
G10063010,Master Bath - Full extension soft close doors and drawers,270,1,270
G10063090,Level 3 Cabinets - Master Bath - hi/low,310,1,310
G10063110,Level 3 Cabinets - Bath #2,120,1,120
G10064040,Level 1 - Laundry Room base and upper cabinets at counter,890,2,1780
G10064070,Level 1 - Laundry Room cabinets above washer and dryer,1040,3,3120
G10064090,Level 3 - Laundry Room cabinets above washer and dryer,1200,1,1200
G20060050,Upgrade Deluxe Hood to Wood Cabinet Hood,2532.857143,14,35460
G20060050,Upgrade Hood to Wood Cabinet Hood,2656,3,7968
G20060100,Level 1 - Base cabinet to counter with Laundry sink and Delta 2131 Fau,1169,10,11690
G20060110,Level 2 - Base cabinet to counter with Laundry sink and Delta 2131 Fau,1200,2,2400
G20060115,Level 3 - Base cabinet to counter with Laundry sink and Delta 2131 Fau,1430,1,1430
G20060120,Level 2 - Standard Kitchen layout - electric free standing range with,1240,1,1240
G20060125,Level 3 - Standard Kitchen layout - electric free standing range with,1380,2,2760
G20060130,Level 1 - Standard Kitchen layout - gas range with microwave above (JG,492.5,12,5910
G20060135,Level 2 - Standard Kitchen layout - gas range with microwave above (JG,1572.5,4,6290
G20060140,Level 3 - Standard Kitchen layout - gas range with microwave above (JG,2760,1,2760
G20060145,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, electric cooktop",2540,7,17780
G20060150,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, gas cooktop",2352.592593,27,63520
G20060150,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, gas",3598.333333,6,21590
G20060165,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, el",5020,1,5020
G20060165,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, electric cooktop",3425,2,6850
G20060170,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, gas cooktop",3506.111111,18,63110
G20060170,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, ga",3775,4,15100
G20060185,"Level 3 - Deluxe Kitchen - Built-in oven and microwave, range hood, electric cooktop",4750,2,9500
G20060190,"Level 3 - Deluxe Kitchen - Built-in oven and microwave, range hood, ga",5115,4,20460
G20060190,"Level 3 - Deluxe Kitchen - Built-in oven and microwave, range hood, gas cooktop",4822.222222,9,43400
G20060203,Level 3 - Gourmet Kitchen GAS,6580,1,6580
G20060204,Level 1 - Gourmet Kitchen ELECTRIC,2950,1,2950
G20062025,"Kitchen - 4 1/4"" Base Moulding for Sides & Back of Island",470,6,2820
G20062030,Kitchen - Light rail moulding,240,3,720
G20062040,"kitchen - 24"" deep refrigerator cabinet",348.1553398,103,35860
G20062050,Kitchen - Mullion/ glass doors (each),161.4285714,14,2260
G20062060,Kitchen - Decorative or arts and craft corbels,445.5555556,9,4010
G20062070,Kitchen - Full extension soft close doors and drawers,828.4482759,58,48050
G20062080,Kitchen - Base cabinet double roll out shelf,205.5555556,72,14800
G20062090,Kitchen - Three drawer pots and pans cabinet,223.4513274,113,25250
G20062100,"Kitchen - 18"" double wastebasket pull-out",157.0754717,106,16650
G20062110,Kitchen - Decorative ends - base & wall,454.2857143,7,3180
G20062120,Kitchen - Decorative island back,812.2222222,9,7310
G20063010,Master Bath - Full extension soft close doors and drawers,318.3333333,12,3820
G20063030,Level 2 - Master Bath - 2 drawer stacks,370,6,2220
G20063040,Level 3 - Master Bath - 2 drawer stacks,495,2,990
G20063065,Level 2 Cabinets - Alternate Master Bath,390,4,1560
G20063066,Level 3 Cabinets - Alternate Master Bath,500,1,500
G20063070,Level 1 Cabinets - Master Bath - hi/low,212,5,1060
G20063080,Level 2 Cabinets - Master Bath - hi/low,270,1,270
G20063100,Level 2 Cabinets - Bath #2,81.66666667,6,490
G20063110,Level 3 Cabinets - Bath #2,163.3333333,3,490
G20063112,Level 2 Cabinets - Bath #3,80,2,160
G20063113,Level 3 Cabinets - Bath #3,120,1,120
G20063118,Level 3 Cabinets - Bath #4,240,1,240
G20063130,Bath #2 - Full extension soft close doors and drawers,153.3333333,3,460
G20063140,"Bath #3 - Raise cabinet height to 35""",79.23076923,26,2060
G20063150,Bath #3 - Full extension soft close doors and drawers,130,1,130
G20063155,"Bath #4 - Raise cabinet height to 35""",77.69230769,13,1010
G20063157,Bath #4 - Full extension soft close doors and drawers,130,1,130
G20063175,Butler's Pantry - Full extension soft close doors and drawers,220,2,440
G20063180,Level 2 - Butler Pantry Base and Wall Cabinets,95.55555556,9,860
G20063190,Level 3 - Butler Pantry Base and Wall Cabinets,160,2,320
G20064010,Level 1 - Laundry Room base cabinets below counter,550.8333333,6,3305
G20064020,Level 2 - Laundry Room base cabinets below counter,430,1,430
G20064040,Level 1 - Laundry Room base and upper cabinets at counter,1076.666667,3,3230
G20064070,Level 1 - Laundry Room cabinets above washer and dryer,952.7586207,29,27630
G20064080,Level 2 - Laundry Room cabinets above washer and dryer,1120,4,4480
G20064090,Level 3 - Laundry Room cabinets above washer and dryer,1153.333333,3,3460
G20064400,Remove Kitchen Drywall Pantry & Upgrade to Level 1 Pantry Cabinet,2512.857143,7,17590
G20064405,Remove Kitchen Drywall Pantry & Upgrade to Level 2 Pantry Cabinet,3236.666667,3,9710
G20064410,Remove Kitchen Drywall Pantry & Upgrade to Level 3 Pantry Cabinet,3876.25,8,31010
G20064425,MBR - Upgrade to Level 1 Pantry Cabinet,1470.909091,11,16180
G20064426,MBR - Upgrade to Level 2 Pantry Cabinet,1850,3,5550
G20064427,MBR - Upgrade to Level 3 Pantry Cabinet,2310,2,4620
G20064428,MBR - Add Large Crown to Pantry,80,3,240
G30060025,Upgrade Pedestal to Jefferey Alexander Vanity (Includes Vanity w/ Marb,2780,1,2780
G30060050,Upgrade Deluxe Hood to Wood Cabinet Hood,2450,5,12250
G30060050,Upgrade Hood to Wood Cabinet Hood,2656,5,13280
G30060055,Upgrade Gourmet Hood to Wood Cabinet Hood,1850,1,1850
G30060060,Optional Rectangular Kitchen Island (Incl. Level 1 Cabinets & Granite),59.375,32,1900
G30060061,Level 2 Cabinet Upgrade on Rectangular Kitchen Island,50,2,100
G30060061,Level 2 Cabinets - Optional Rectangular Kitchen Island,50,3,150
G30060062,Level 3 Cabinet Upgrade on Rectangular Kitchen Island,0,2,0
G30060062,Level 3 Cabinets - Optional Rectangular Kitchen Island,0,1,0
G30060100,Level 1 - Base cabinet with Laundry sink and Delta 2131 Faucet,1166.666667,24,28000
G30060110,Level 2 - Base cabinet with Laundry sink and Delta 2131 Faucet,1280,3,3840
G30060115,Level 3 - Base cabinet  with Laundry sink and Delta 2131 Faucet,1365,2,2730
G30060120,Level 2 - Standard Kitchen layout - electric free standing range with,2300,2,4600
G30060125,Level 3 - Standard Kitchen layout - electric free standing range with,2980,3,8940
G30060130,Level 1 - Standard Kitchen layout - gas range with microwave above,510,4,2040
G30060135,Level 2 - Standard Kitchen layout - gas range with microwave above,3240,1,3240
G30060140,Level 3 - Standard Kitchen layout - gas range with microwave above,2980,1,2980
G30060145,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, elec",3234.285714,7,22640
G30060150,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, gas",2851.212121,33,94090
G30060160,"Level 1 - Gourmet Kitchen - Built-in double oven, microwave, built-in",6370,1,6370
G30060165,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, electric cooktop",4550,4,18200
G30060165,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, el",5325,2,10650
G30060170,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, gas cooktop",4265.555556,9,38390
G30060170,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, ga",4980,1,4980
G30060175,"Level 2 - Gourmet Kitchen - Built-in double oven, microwave, built-in",7940,1,7940
G30060175,"Level 2 - Gourmet Kitchen - Built-in double oven, microwave, built-in range hood to match cabinets, electric cooktop",7910,1,7910
G30060185,"Level 3 - Deluxe Kitchen - Built-in oven and microwave, range hood, electric cooktop",5743.333333,3,17230
G30060190,"Level 3 - Deluxe Kitchen - Built-in oven and microwave, range hood, ga",6516,5,32580
G30060190,"Level 3 - Deluxe Kitchen - Built-in oven and microwave, range hood, gas cooktop",6665,4,26660
G30060201,Level 1 - Gourmet Kitchen GAS,3185,2,6370
G30062025,"Kitchen - 4 1/4"" Base Moulding for Sides & Back of Island",470,4,1880
G30062026,"Kitchen - 4 1/4"" Base Moulding for Sides & Back of Rectangular Island",352,5,1760
G30062030,Kitchen - Light rail moulding,327.5,8,2620
G30062040,"kitchen - 24"" deep refrigerator cabinet",332.1176471,85,28230
G30062050,Kitchen - Mullion/ glass doors (each),168.5714286,56,9440
G30062060,Kitchen - Decorative or arts and craft corbels,395,4,1580
G30062070,Kitchen - Full extension soft close doors and drawers,931.0344828,58,54000
G30062080,Kitchen - Base cabinet double roll out shelf,211.754386,57,12070
G30062090,Kitchen - Three drawer pots and pans cabinet,221.0869565,92,20340
G30062100,"Kitchen - 18"" double wastebasket pull-out",168.1395349,86,14460
G30062110,Kitchen - Decorative ends - base & wall,794.6666667,15,11920
G30062120,Kitchen - Decorative island back,795.8333333,12,9550
G30063010,Master Bath - Full extension soft close doors and drawers,408,10,4080
G30063020,Level 1 - Master Bath - 2 drawer stacks,110,1,110
G30063030,Level 2 - Master Bath - 2 drawer stacks,350,3,1050
G30063040,Level 3 - Master Bath - 2 drawer stacks,400,3,1200
G30063065,Level 2 Cabinets - Alternate Master Bath,320,3,960
G30063066,Level 3 Cabinets - Alternate Master Bath,530,1,530
G30063070,Level 1 Cabinets - Master Bath - hi/low,210,3,630
G30063090,Level 3 Cabinets - Master Bath - hi/low,310,1,310
G30063100,Level 2 Cabinets - Bath #2,84,5,420
G30063110,Level 3 Cabinets - Bath #2,125,2,250
G30063112,Level 2 Cabinets - Bath #3,86.66666667,3,260
G30063113,Level 3 Cabinets - Bath #3,125,2,250
G30063130,Bath #2 - Full extension soft close doors and drawers,170,5,850
G30063140,"Bath #3 - Raise cabinet height to 35""",70,7,490
G30063150,Bath #3 - Full extension soft close doors and drawers,200,1,200
G30063155,"Basement Bath - Raise cabinet height to 35""",81.84210526,38,3110
G30063157,Basement Bath - Full extension soft close doors and drawers,125,2,250
G30064010,Level 1 - Laundry Room base cabinets below counter,660,5,3300
G30064070,Level 1 - Laundry Room cabinets above washer and dryer,1017.777778,27,27480
G30064080,Level 2 - Laundry Room cabinets above washer and dryer,1150,4,4600
G30064090,Level 3 - Laundry Room cabinets above washer and dryer,1230,2,2460
G30064400,Remove Kitchen Drywall Pantry & Upgrade to Level 1 Pantry Cabinet,2535,2,5070
G30064405,Remove Kitchen Drywall Pantry & Upgrade to Level 2 Pantry Cabinet,3263.333333,3,9790
G30064410,Remove Kitchen Drywall Pantry & Upgrade to Level 3 Pantry Cabinet,3940,2,7880
G30064425,MBR - Upgrade to Level 1 Pantry Cabinet,1346.470588,17,22890
G30064426,MBR - Upgrade to Level 2 Pantry Cabinet,1700,1,1700
G30064427,MBR - Upgrade to Level 3 Pantry Cabinet,2102.5,4,8410
G30064430,Level 1 - Desk to Hutch,970,1,970
G40060050,Upgrade Deluxe Hood to Wood Cabinet Hood,2490,1,2490
G40060050,Upgrade Hood to Wood Cabinet Hood,2880,1,2880
G40060130,Level 1 - Standard Kitchen layout - gas range with microwave above (JG,460,1,460
G40060150,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, gas cooktop",2746.666667,3,8240
G40060170,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, gas cooktop",3764,5,18820
G40060170,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, ga",3685,2,7370
G40060190,"Level 3 - Deluxe Kitchen - Built-in oven and microwave, range hood, ga",6060,1,6060
G40060190,"Level 3 - Deluxe Kitchen - Built-in oven and microwave, range hood, gas cooktop",6040,1,6040
G40062025,"Kitchen - 4 1/4"" Base Moulding for Sides & Back of Island",470,3,1410
G40062025,"Kitchen - 4 1/4"" Base Shoe Moulding for Island",490,1,490
G40062040,"kitchen - 24"" deep refrigerator cabinet",230.7692308,13,3000
G40062050,Kitchen - Mullion/ glass doors (each),162.5,16,2600
G40062060,Kitchen - Decorative or arts and craft corbels,403.3333333,3,1210
G40062070,Kitchen - Full extension soft close doors and drawers,880,7,6160
G40062080,Kitchen - Base cabinet double roll out shelf,158,5,790
G40062090,Kitchen - Three drawer pots and pans cabinet,222.6315789,19,4230
G40062100,"Kitchen - 18"" double wastebasket pull-out",148.1818182,11,1630
G40063030,Level 2 - Master Bath - 2 drawer stacks,350,1,350
G40064040,Level 1 - Laundry Room base and upper cabinets at counter,390,1,390
G40064070,Level 1 - Laundry Room cabinets above washer and dryer,664.2857143,7,4650
G40064080,Level 2 - Laundry Room cabinets above washer and dryer,700,1,700
G40064300,Level 1 - Desk to Drybar,160,2,320
G40064301,Level 2 - Desk to Drybar,490,1,490
P10060100,Level 1 - Base cabinet to counter with Laundry sink and Delta 2131 Fau,1320,1,1320
P10060130,Level 1 - Standard Kitchen - gas range with microwave above,463.3333333,3,1390
P10060135,Level 2 - Standard Kitchen - gas range with microwave above,1440,1,1440
P10060145,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, elec",3350,2,6700
P10060150,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, gas cooktop",2850,1,2850
P10060150,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, gas",2950,2,5900
P10060155,"Level 1 - Gourmet Kitchen - Built-in dble oven & microwave, built-in r",5990,2,11980
P10060170,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, ga",4300,1,4300
P10060180,"Level 2 - Gourmet Kitchen - Built-in double oven, microwave, built-in",7210,2,14420
P10060185,"Level 3 - Deluxe Kitchen - Built-in oven and microwave, range hood, el",5790,1,5790
P10062020,Kitchen - Tall crown moulding,525,8,4200
P10062030,Kitchen - Light rail moulding,240,2,480
P10062040,"kitchen - 24"" deep refrigerator cabinet",348.3333333,12,4180
P10062070,Kitchen - Full extension soft close doors and drawers,1500,3,4500
P10062080,Kitchen - Base cabinet double roll out shelf,225.5555556,9,2030
P10062090,Kitchen - Three drawer pots and pans cabinet,227.5,12,2730
P10062100,"Kitchen - 18"" double wastebasket pull-out",212.6666667,15,3190
P10063020,Level 1 - Master Bath - 2 drawer stacks,406.6666667,18,7320
P10063070,Level 1 - Master Bath - hi/low,180,3,540
P10063120,"Bath #2 - Raise cabinet height to 35""",84.21052632,19,1600
P10063140,"Bath #3 - Raise cabinet height to 35""",82.85714286,7,580
P10064070,Level 1 - Laundry Room cabinets above washer and dryer,742,5,3710
P20060055,Upgrade Gourmet Hood to Wood Cabinet Hood,1840,1,1840
P20060100,Level 1 - Base cabinet to counter w/ Laundry sink & Delta 2131 Faucet,1040,2,2080
P20060100,Level 1 - Base cabinet to counter with Laundry sink and Delta 2131 Fau,1020,6,6120
P20060110,Level 2 - Base cabinet to counter with Laundry sink and Delta 2131 Fau,1090,1,1090
P20060120,Level 2 - Standard Kitchen layout - electric free standing range with,570,2,1140
P20060120,Level 2 - Standard Kitchen layout - electric free standing range with microwave above,1460,3,4380
P20060130,Level 1 - Standard Kitchen layout - gas range with microwave above,520,1,520
P20060130,Level 1 - Standard Kitchen layout - gas range with microwave above (JG,429.1666667,6,2575
P20060135,Level 2 - Standard Kitchen layout - gas range with microwave above,1970,1,1970
P20060135,Level 2 - Standard Kitchen layout - gas range with microwave above (JG,1073.333333,3,3220
P20060140,Level 3 - Standard Kitchen layout - gas range with microwave above,4430,1,4430
P20060140,Level 3 - Standard Kitchen layout - gas range with microwave above (JG,2075,2,4150
P20060145,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, electric cooktop",2680,1,2680
P20060150,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, gas cooktop",2902.5,4,11610
P20060150,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, gas",3262,5,16310
P20060150,Level 1 - Deluxe Kitchen GAS,2788.571429,7,19520
P20060155,"Level 1 - Gourmet Kitchen - Built-in dble oven & microwave, built-in r",8080,2,16160
P20060155,"Level 1 - Gourmet Kitchen - Built-in dble oven & microwave, built-in range hood to match cabinets, gas cooktop",7890,1,7890
P20060165,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, el",4350,2,8700
P20060165,Level 2 - Deluxe Kitchen ELECTRIC,4450,1,4450
P20060170,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, ga",4100,4,16400
P20060170,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, gas cooktop",4030,1,4030
P20060180,"Level 2 - Gourmet Kitchen - Built-in double oven, microwave, built-in",9020,2,18040
P20060185,"Level 3 - Deluxe Kitchen - Built-in oven and microwave, range hood, el",3376,1,3376
P20060185,"Level 3 - Deluxe Kitchen - Built-in oven and microwave, range hood, electric cooktop",5330,1,5330
P20060190,Level 3 - Deluxe Kitchen GAS,6990,1,6990
P20060190,"Level 3 - Deluxe Kitchen - Built-in oven and microwave, range hood, ga",5010,3,15030
P20060200,"Level 3 - Gourmet Kitchen - Built-in double oven, microwave & range ho",9530,2,19060
P20060201,Level 1 - Gourmet Kitchen GAS,4566.666667,3,13700
P20060202,Level 2 - Gourmet Kitchen GAS,5330,1,5330
P20060203,Level 3 - Gourmet Kitchen GAS,6490,1,6490
P20062020,Kitchen - Tall crown moulding,401.0714286,28,11230
P20062030,Kitchen - Light rail moulding,212.5,4,850
P20062040,"kitchen - 24"" deep refrigerator cabinet",344.5849057,53,18263
P20062050,Kitchen - Mullion/ glass doors (each),175,8,1400
P20062060,Kitchen - Decorative or arts and craft corbels,520,1,520
P20062070,Kitchen - Full extension soft close doors and drawers,1094.125,32,35012
P20062080,Kitchen - Base cabinet double roll out shelf,222.2727273,44,9780
P20062090,Kitchen - Pots and Pans Drawer Cabinet,220,14,3080
P20062090,Kitchen - Three drawer pots and pans cabinet,222.2,30,6666
P20062100,"Kitchen - 18"" double wastebasket pull-out",192.9230769,52,10032
P20062110,Kitchen - Decorative ends - base & wall,657,1,657
P20063010,Master Bath - Full extension soft close doors and drawers,323.3333333,6,1940
P20063020,Level 1 - Master Bath - 2 drawer stacks,404.6222222,45,18208
P20063020,Level 1 - Master Bath - 2 drawer stacks raised height,176.4285714,14,2470
P20063030,Level 2 - Master Bath - 2 drawer stacks,416.6666667,3,1250
P20063030,Level 2 - Master Bath - 2 drawer stacks raised height,220,1,220
P20063064,Included Level - Alternate Master Bath,0,1,0
P20063070,Level 1 - Master Bath - hi/low,153.3333333,9,1380
P20063080,Level 2 - Master Bath - hi/low,235,2,470
P20063099,Included Level - Bath #2,0,2,0
P20063100,Level 2 - Bath #2,80,6,480
P20063111,Included Level - Bath #3,0,1,0
P20063112,Level 2 - Bath #3,75,2,150
P20063120,Bath #2 - Raise cabinet height,130,8,1040
P20063120,"Bath #2 - Raise cabinet height to 35""",93.31372549,51,4759
P20063130,Bath #2 - Full extension soft close doors and drawers,216.6666667,3,650
P20063140,"Bath #3 - Raise cabinet height to 35""",93.30555556,36,3359
P20063150,Bath #3 - Full extension soft close doors and drawers,223.3333333,3,670
P20064040,Level 1 - Laundry Room base and upper cabinets at counter,900,2,1800
P20064070,Level 1 - Laundry Room cabinets above washer and dryer,733.1578947,19,13930
P20064100,Level 1 - Key Drop - Add base cabinets,500,1,500
P20064110,Level 2 - Key Drop - Add base cabinets,560,1,560
P20064130,Level 1 - Key Drop - Add base cabinets & upper cabinets,1090,2,2180
P30060055,Upgrade Gourmet Hood to Wood Cabinet Hood,1840,1,1840
P30060100,Level 1 - Base cabinet to counter with Laundry sink and Delta 2131 Fau,1360,1,1360
P30060130,Level 1 - Standard Kitchen layout - gas range with microwave above (JG,440,1,440
P30060135,Level 2 - Standard Kitchen layout - gas range with microwave above (JG,1730,1,1730
P30060150,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, gas",3010,2,6020
P30060150,Level 1 - Deluxe Kitchen GAS,2500,1,2500
P30060150,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, gas cooktop",2685,2,5370
P30060155,"Level 1 - Gourmet Kitchen - Built-in dble oven & microwave, built-in r",6560,1,6560
P30060165,"Level 2 - Deluxe Kitchen - Built-in oven and microwave, range hood, el",4660,1,4660
P30060170,Level 2 - Deluxe Kitchen GAS,5310,1,5310
P30060203,Level 3 - Gourmet Kitchen GAS,6920,1,6920
P30062020,Kitchen - Tall crown moulding,500,3,1500
P30062030,Kitchen - Light rail moulding,310,1,310
P30062040,"kitchen - 24"" deep refrigerator cabinet",325,14,4550
P30062070,Kitchen - Full extension soft close doors and drawers,1945,2,3890
P30062080,Kitchen - Base cabinet double roll out shelf,190,7,1330
P30062090,Kitchen - Pots and Pans Drawer Cabinet,220,2,440
P30062090,Kitchen - Three drawer pots and pans cabinet,207.5,4,830
P30062100,"Kitchen - 18"" double wastebasket pull-out",225.0833333,12,2701
P30062110,Kitchen - Decorative ends - base & wall,880,1,880
P30062120,Kitchen - Decorative island back,1630,1,1630
P30063005,"Master Bath - Raise cabinet height to 35""",170,3,510
P30063020,Level 1 - Master Bath - 2 drawer stacks raised height,240,2,480
P30063020,Level 1 - Master Bath - 2 drawer stacks,339.5,10,3395
P30063030,Level 2 - Master Bath - 2 drawer stacks,470,1,470
P30063100,Level 2 - Bath #2,100,1,100
P30063120,Bath #2 - Raise cabinet height,160,2,320
P30063120,"Bath #2 - Raise cabinet height to 35""",110,9,990
P30063140,Bath #3 - Raise cabinet height,160,2,320
P30063140,"Bath #3 - Raise cabinet height to 35""",106,5,530
P30063180,Level 2 - Butler Pantry Base and Wall Cabinets,2040,1,2040
P30064070,Level 1 - Laundry Room cabinets above washer and dryer,670,2,1340
P30064100,Level 1 - Key Drop - Add base cabinets,350,1,350
P30064130,Level 1 - Key Drop - Add base cabinets & upper cabinets,990,1,990
P40060100,Level 1 - Base cabinet to counter with Laundry sink and Delta 2131 Fau,1350,1,1350
P40060150,"Level 1 - Deluxe Kitchen - Built-in oven & microwave, range hood, gas",3010,1,3010
P40060185,"Level 3 - Deluxe Kitchen - Built-in oven and microwave, range hood, el",5350,1,5350
P40060200,"Level 3 - Gourmet Kitchen - Built-in double oven, microwave & range ho",6980,1,6980
P40062020,Kitchen - Tall crown moulding,500,1,500
P40062040,"kitchen - 24"" deep refrigerator cabinet",300,3,900
P40062060,Kitchen - Decorative or arts and craft corbels,500,1,500
P40062090,Kitchen - Three drawer pots and pans cabinet,207.5,4,830
P40062100,"Kitchen - 18"" double wastebasket pull-out",270,1,270
P40063020,Level 1 - Master Bath - 2 drawer stacks,335,2,670
P40063030,Level 2 - Master Bath - 2 drawer stacks,220,1,220
P40063116,Level 3 - Guest Suite Bath,140,1,140
P40063120,"Bath #2 - Raise cabinet height to 35""",130,3,390
P40063160,"Guest Suite Bath  - Raise cabinet height to 35""",160,2,320
P40063180,Level 2 - Butler Pantry Base and Wall Cabinets,370,1,370
P40064070,Level 1 - Laundry Room cabinets above washer and dryer,790,1,790
P40064100,Level 1 - Key Drop - Add base cabinets,470,1,470
P41060170,Level 2 - Deluxe Kitchen GAS,3350,1,3350
P41062040,"kitchen - 24"" deep refrigerator cabinet",390,1,390
P41062070,Kitchen - Full extension soft close doors and drawers,1050,1,1050
P41062090,Kitchen - Three drawer pots and pans cabinet,220,1,220
P41062100,"Kitchen - 18"" double wastebasket pull-out",140,1,140
